brand,name,pet,acceptance,safety,note
Dave's Pet Food,chicken & chicken liver pate,Gwen,,,
Dave's Pet Food,chicken & chicken liver pate,Samson,never_tried,safe,
Dave's Pet Food,chicken & chicken liver pate,Troy,rejects,unknown,Not Approved by Troy
Dave's Pet Food,chicken & whitefish,Gwen,,,
Dave's Pet Food,chicken & whitefish,Samson,never_tried,safe,
Dave's Pet Food,chicken & whitefish,Troy,,,
Dave's Pet Food,fisherman's stew,Gwen,,,
Dave's Pet Food,fisherman's stew,Samson,never_tried,safe,
Dave's Pet Food,fisherman's stew,Troy,rejects,unknown,Not Approved by Troy
Dave's Pet Food,saucey pate chicken & duck,Gwen,,,
Dave's Pet Food,saucey pate chicken & duck,Samson,never_tried,safe,
Dave's Pet Food,saucey pate chicken & duck,Troy,rejects,unknown,Not Approved by Troy
Dave's Pet Food,shredded chicken,Gwen,,,
Dave's Pet Food,shredded chicken,Samson,never_tried,safe,
Dave's Pet Food,shredded chicken,Troy,,,
Dave's Pet Food,shredded salmon,Gwen,,,
Dave's Pet Food,shredded salmon,Samson,never_tried,safe,
Dave's Pet Food,shredded salmon,Troy,,,
Dave's Pet Food,tuna & chicken,Gwen,,,
Dave's Pet Food,tuna & chicken,Samson,never_tried,safe,
Dave's Pet Food,tuna & chicken,Troy,,,
Dave's Pet Food,tuna & salmon,Gwen,,,
Dave's Pet Food,tuna & salmon,Samson,never_tried,safe,
Dave's Pet Food,tuna & salmon,Troy,,,
Dave's Pet Food,tuna & shrimp,Gwen,,,
Dave's Pet Food,tuna & shrimp,Samson,never_tried,safe,
Dave's Pet Food,tuna & shrimp,Troy,,,
Earthborn Holistic,Monterey medley,Gwen,,,
Earthborn Holistic,Monterey medley,Samson,never_tried,safe,
Earthborn Holistic,Monterey medley,Troy,,,
Earthborn Holistic,catalina catch,Gwen,,,
Earthborn Holistic,catalina catch,Samson,never_tried,safe,
Earthborn Holistic,catalina catch,Troy,,,
Weruva,Mack & Jack,Gwen,,,
Weruva,Mack & Jack,Samson,never_tried,safe,
Weruva,Mack & Jack,Troy,,,
Weruva,Mideast Feast,Gwen,,,
Weruva,Mideast Feast,Samson,never_tried,safe,
Weruva,Mideast Feast,Troy,,,
Weruva,glam & punk,Gwen,,,
Weruva,glam & punk,Samson,never_tried,safe,
Weruva,glam & punk,Troy,,,
Weruva,splash dance,Gwen,,,
Weruva,splash dance,Samson,never_tried,safe,
Weruva,splash dance,Troy,,,
